generated_at,priority_scope_note,category,disease_code,disease_name,match_status,match_type,match_score,hit_text,source_section_path,docx_paragraph_start,docx_paragraph_end,pdf_page_start,pdf_page_end,skeleton_slot,knowledge_layer,definition_candidate,description_candidate,available_slots_in_source
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ready_for_import_after_sampling,exact_title,100,急性 ST 段抬高型心肌梗死,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 急性冠脉综合征 > 急性 ST 段抬高型心肌梗死,5197,5398,263,263,overview,textbook_core,STEMI 是指急性心肌缺血性坏死，大多是在冠脉病变的基础上，发生冠脉血供急剧减少或中断，使相应的心肌严重而持久地急性缺血所致。,STEMI 是指急性心肌缺血性坏死，大多是在冠脉病变的基础上，发生冠脉血供急剧减少或中断，使相应的心肌严重而持久地急性缺血所致。常见原因为在冠脉不稳定斑块破裂、糜烂、侵蚀基础上继发血栓形成导致冠脉血管持续、完全闭塞，少部分为冠脉开口堵塞，如主动脉夹层撕裂累及冠脉开口，或医源性的，如经导管主动脉瓣植入术导致的冠脉口堵塞，其他少见的原因包括血栓栓塞、自发性夹层或持续的冠脉痉挛。 本病既往在欧美常见，但根据中国心血管病报告的数据，无论是农村还是城市，AMI 发病率在不断增高，死亡率整体呈上升趋势。,clinical_manifestation|diagnosis_differential|etiology|exam_lab|pathogenesis|prognosis_followup_prevention|treatment|并发症
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-UA,不稳定型心绞痛,ready_for_review,overview_mention,82,不稳定型心绞痛,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 急性冠脉综合征,5120,5126,263,263,overview,textbook_core,急性冠脉综合征是一组由急性心肌缺血引起的临床综合征，主要包括不稳定型心绞痛（UA）、非ST 段抬高型心肌梗死（NSTEMI）和 ST 段抬高型心肌梗死（STEMI），冠心病猝死是特殊类型 ACS。,急性冠脉综合征是一组由急性心肌缺血引起的临床综合征，主要包括不稳定型心绞痛（UA）、非ST 段抬高型心肌梗死（NSTEMI）和 ST 段抬高型心肌梗死（STEMI），冠心病猝死是特殊类型 ACS。临床上将急性心肌梗死（acute myocardial infarction，AMI）分为 5 型：1 型是自发性 AMI，即原发冠脉不稳 定斑块发生破裂、糜烂或侵蚀继发血栓形成所致，最常见；2 型是存在继发因素导致的持续性供氧不能满足耗氧所需，例如冠脉痉挛、自发性夹层或壁内血肿等，以及栓塞和微血管疾病；3 型是冠心病猝死；4 型是与 PCI 相关；5 型是与 CABG 相关。,
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-SPASM,冠状动脉痉挛,ready_for_import_after_sampling,exact_title,100,冠状动脉痉挛,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 冠状动脉疾病的其他表现形式 > 冠状动脉痉挛,5401,5478,264,264,overview,textbook_core,冠脉痉挛是一种特殊类型的冠脉疾病。,冠脉痉挛是一种特殊类型的冠脉疾病。造影正常血管或粥样硬化病变部位均可发生痉挛。其临床表现和治疗方案与冠心病有明显的差别。 病人常较年轻，除吸烟外，大多数病人缺乏动脉粥样硬化的经典危险因素。吸烟、酒精和毒品是冠脉痉挛的重要诱发因素。 本病表现为静息性心绞痛，无体力劳动或情绪激动等诱因。发病时间集中在午夜至上午 8 点之间。病人常因恶性心律失常伴发晕厥。少数病人冠脉持续严重痉挛，可发生 AMI 甚至猝死。 若冠脉痉挛导致血管闭塞，则临床表现为静息性心绞痛伴心电图一过性 ST 段抬高。该类病人临床特点鲜明，因静息性发作与稳定型心绞痛不同，因 ST 段抬高与稳定型心绞痛、UA 和 NSTEMI 不同，因 ST 段抬高呈一过性与 STEMI 不同，因此可直接确立诊断（早先称为变异型心绞痛或 Prinzmetal 心绞痛）。但非闭塞性冠脉痉挛表现为 ST 段压低或 T 波改变，此时就难以和一般的心绞痛相鉴别。另外，冠脉痉挛一般具有自行缓解的特性，心电图和常规冠脉造影难以捕捉，长程动态 ECG 有助于监测到症状发作时的 ST 段变化，确诊常需行乙酰胆碱或麦角新碱激发试验。 在戒烟、戒酒的基础上，钙通道阻滞剂和硝酸酯类药物是治疗冠脉痉挛的主要手段，考虑微血管痉挛者，可使用尼可地尔。β受体拮抗剂可能会加重或诱发痉挛，不能单独用于变异型心绞痛病人，但伴有固定性狭窄的病人并非禁忌。冠脉痉挛一般预后良好，5 年生存率可高达 89%～97%，但多支血管或左主干痉挛病人预后不良。 二、心肌桥 冠脉通常走行于心外膜下的结缔组织中，如果一段冠脉走行于心肌内，这束心肌纤维被称为心肌桥，而走行于心肌桥下的冠脉被称为壁冠状动脉，主要见于左前降支中段。冠脉造影显示该节段血管管腔收缩期受挤压，舒张期恢复正常或受压程度明显减轻，被称为“挤奶现象”（milking effect）。冠脉造影时心肌桥检出率为 0.51%～16%，尸体解剖时检出率则高达 15%～85%，说明大部分心肌桥并没有临床意义。 由于壁冠状动脉在每一个心动周期的收缩期被挤压，如挤压严重可产生远端心肌缺血，临床上亦可表现为类似心绞痛的症状、心律失常，甚至 AMI 或猝死。另外，心肌桥导致其近端的收缩期前向血流逆转，损伤该处血管内膜，所以该处容易形成动脉粥样硬化斑块。 β受体拮抗剂及钙通道阻滞剂等降低心肌收缩力和心率的药物可有效缓解症状。植入支架会增加冠脉穿孔、内膜增生和再狭窄的发生率，因此并不提倡。手术分离壁冠状动脉（心肌桥松解术）曾被认为能根治此病，但也有再复发的病例。由于壁冠状动脉舒张期灌注压并无明显降低，因此旁路移植术后桥血管闭塞率也显著增高，因此，心肌桥应以药物治疗为主，收缩期压迫明显者避免剧烈运动，药物治疗后仍有缺血症状且壁冠状动脉舒张期也严重受压者，可考虑内乳动脉旁路移植手术。除非绝对需要，也应避免使用硝酸酯类药物及正性肌力...,
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-CHD,冠状动脉粥样硬化性心脏病,ready_for_import_after_sampling,alias_title,92,冠状动脉粥样硬化性心脏病,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 冠状动脉粥样硬化性心脏病概述,4943,4955,258,258,overview,textbook_core,冠状动脉粥样硬化性心脏病（coronary atherosclerotic heart disease）指冠状动脉（冠脉）发生粥样硬化引起管腔狭窄或闭塞，导致心肌缺血、缺氧或坏死而引起的心脏病，简称冠心病（coronary artery disease，CAD；,冠状动脉粥样硬化性心脏病（coronary atherosclerotic heart disease）指冠状动脉（冠脉）发生粥样硬化引起管腔狭窄或闭塞，导致心肌缺血、缺氧或坏死而引起的心脏病，简称冠心病（coronary artery disease，CAD；或 coronary heart disease，CHD），亦称缺血性心脏病（ischemic heart disease）。 冠心病是动脉粥样硬化导致器官病变的最常见类型，严重危害人类健康。本病多发于 40 岁以上成人，男性发病早于女性，经济发达国家发病率较高；近年来发病呈年轻化趋势。,classification_risk|pathogenesis
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-ATHEROSCLEROSIS,动脉粥样硬化,ready_for_import_after_sampling,exact_title,100,动脉粥样硬化,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 动脉粥样硬化,4864,4889,258,258,overview,textbook_core,由于在动脉内膜积聚的脂质外观呈黄色粥样，因此被称为动脉粥样硬化。,动脉粥样硬化（atherosclerosis）的特点是受累动脉的病变从内膜开始，局部先后发生细胞内外的脂质积聚、纤维组织增生和钙质沉着，病变内可见单核巨噬细胞及其他炎症细胞，并有平滑肌细胞的迁移和增生，大量胶原纤维、弹力纤维和蛋白多糖等结缔组织基质形成，动脉中层也可发生逐渐退变和钙化，在此基础上可发生斑块内出血、糜烂或破裂及继发局部血栓形成。由于在动脉内膜积聚的脂质外观呈黄色粥样，因此被称为动脉粥样硬化。动脉粥样硬化相关的心血管疾病被称为动脉粥样硬化性心血管疾病（atherosclerotic cardiovascular disease，ASCVD）。,etiology|pathogenesis
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-POST-MI-SYNDROME,心肌梗死后综合征,needs_manual_anchor_review,body_mention,62,心肌梗死后综合征,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 急性冠脉综合征 > 急性 ST 段抬高型心肌梗死,5197,5398,284,284,overview,textbook_core,5. 心肌梗死后综合征（post-infarction syndrome） 也称 Dressler 综合征，发生率约1%～3%，于 AMI 后数周至数月内出现，可反复发生。,5. 心肌梗死后综合征（post-infarction syndrome） 也称 Dressler 综合征，发生率约1%～3%，于 AMI 后数周至数月内出现，可反复发生。,clinical_manifestation|diagnosis_differential|etiology|exam_lab|pathogenesis|prognosis_followup_prevention|treatment|并发症
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-ACS,急性冠脉综合征,ready_for_import_after_sampling,exact_title,100,急性冠脉综合征,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 急性冠脉综合征,5120,5126,263,263,overview,textbook_core,急性冠脉综合征是一组由急性心肌缺血引起的临床综合征，主要包括不稳定型心绞痛（UA）、非ST 段抬高型心肌梗死（NSTEMI）和 ST 段抬高型心肌梗死（STEMI），冠心病猝死是特殊类型 ACS。,急性冠脉综合征是一组由急性心肌缺血引起的临床综合征，主要包括不稳定型心绞痛（UA）、非ST 段抬高型心肌梗死（NSTEMI）和 ST 段抬高型心肌梗死（STEMI），冠心病猝死是特殊类型 ACS。临床上将急性心肌梗死（acute myocardial infarction，AMI）分为 5 型：1 型是自发性 AMI，即原发冠脉不稳 定斑块发生破裂、糜烂或侵蚀继发血栓形成所致，最常见；2 型是存在继发因素导致的持续性供氧不能满足耗氧所需，例如冠脉痉挛、自发性夹层或壁内血肿等，以及栓塞和微血管疾病；3 型是冠心病猝死；4 型是与 PCI 相关；5 型是与 CABG 相关。,
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-AMI,急性心肌梗死,ready_for_review,overview_mention,82,急性心肌梗死,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 急性冠脉综合征,5120,5126,269,269,overview,textbook_core,临床上将急性心肌梗死（acute myocardial infarction，AMI）分为 5 型：1 型是自发性 AMI，即原发冠脉不稳 定斑块发生破裂、糜烂或侵蚀继发血栓形成所致，最常见；,急性冠脉综合征是一组由急性心肌缺血引起的临床综合征，主要包括不稳定型心绞痛（UA）、非ST 段抬高型心肌梗死（NSTEMI）和 ST 段抬高型心肌梗死（STEMI），冠心病猝死是特殊类型 ACS。临床上将急性心肌梗死（acute myocardial infarction，AMI）分为 5 型：1 型是自发性 AMI，即原发冠脉不稳 定斑块发生破裂、糜烂或侵蚀继发血栓形成所致，最常见；2 型是存在继发因素导致的持续性供氧不能满足耗氧所需，例如冠脉痉挛、自发性夹层或壁内血肿等，以及栓塞和微血管疾病；3 型是冠心病猝死；4 型是与 PCI 相关；5 型是与 CABG 相关。,
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-CCS,慢性冠脉综合征,ready_for_import_after_sampling,exact_title,100,慢性冠状动脉综合征,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 慢性冠状动脉综合征,4956,4957,263,263,overview,textbook_core,慢性冠状动脉综合征（CCS）最常见为慢性稳定型劳力性心绞痛和以心功能不全为主要表现的缺血性心肌病，部分处于渡过 ACS 后或行血运重建之后稳定期，有些则为无症状隐匿型冠心病。,慢性冠状动脉综合征（CCS）最常见为慢性稳定型劳力性心绞痛和以心功能不全为主要表现的缺血性心肌病，部分处于渡过 ACS 后或行血运重建之后稳定期，有些则为无症状隐匿型冠心病。发生心肌缺血的主要原因是存在稳定的心外膜冠脉粥样硬化造成的固定狭窄，在某些因素导致心肌耗氧量增加的情况下诱发心肌急剧暂时性缺血缺氧；但冠脉痉挛或微血管病变的病人没有心外膜血管固定狭窄临床上亦不少见。CCS 病人在治疗上有共同之处，通过抗心肌缺血治疗改善症状，稳定或逆转斑块并预防血栓形成，延长病人生存期。,
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,ready_for_import_after_sampling,exact_title,100,稳定型心绞痛,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 慢性冠状动脉综合征 > 稳定型心绞痛,4958,5088,263,263,overview,textbook_core,稳定型心绞痛（stable angina pectoris）也称劳力性心绞痛。,稳定型心绞痛（stable angina pectoris）也称劳力性心绞痛。其特点为阵发性的前胸部压榨性疼痛或憋闷感觉，主要位于胸骨后部，可放射至心前区和左上肢尺侧，常发生于劳力负荷增加时，持续数分钟，休息或服用硝酸酯制剂后疼痛消失。疼痛发作的程度、频度、持续时间、性质及诱发因素等在数月内无明显变化。,clinical_manifestation|diagnosis_differential|exam_lab|pathogenesis|prognosis_followup_prevention|treatment
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,冠状动脉粥样硬化性心脏病;心肌病,DIS-CARD-CAD-ICM,缺血性心肌病,ready_for_import_after_sampling,exact_title,100,缺血性心肌病,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 慢性冠状动脉综合征 > 缺血性心肌病,5089,5110,263,263,overview,textbook_core,缺血性心肌病（ischemic cardiomyopathy，ICM）属于冠心病的一种特殊类型或晚期阶段，临床表现为新发心衰或左心室功能障碍，可伴有各种心律失常，心脏扩大类似扩张型心肌病。,缺血性心肌病（ischemic cardiomyopathy，ICM）属于冠心病的一种特殊类型或晚期阶段，临床表现为新发心衰或左心室功能障碍，可伴有各种心律失常，心脏扩大类似扩张型心肌病。其病理生理基础是冠脉粥样硬化病变使心肌长期缺血、缺氧以至心肌细胞减少、坏死、心肌纤维化、心肌瘢痕形成。,clinical_manifestation|diagnosis_differential|treatment
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,needs_manual_anchor_review,body_mention,62,陈旧性心肌梗死,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 慢性冠状动脉综合征 > 稳定型心绞痛,4958,5088,265,265,overview,textbook_core,（二）心电图（ECG）检查 1. 静息时 ECG 约半数病人在正常范围，也可能有陈旧性心肌梗死改变或非特异性 ST 段和 T波异常。,（二）心电图（ECG）检查 1. 静息时 ECG 约半数病人在正常范围，也可能有陈旧性心肌梗死改变或非特异性 ST 段和 T波异常。,clinical_manifestation|diagnosis_differential|exam_lab|pathogenesis|prognosis_followup_prevention|treatment
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,ready_for_review,exact_title,100,隐匿型冠心病,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 慢性冠状动脉综合征 > 隐匿型冠心病,5111,5119,264,264,overview,textbook_core,三、隐匿型冠心病 【诊断】 1. 发病特点 隐匿型冠心病（latent coronary heart disease）或无症状性冠心病是指没有心绞痛症状，但有心肌缺血客观证据的冠心病，其心肌缺血 ECG 表现可见于静息时，也可在负荷状态下才出现，常为动态 ECG 记录所发现，也可为各种影像学检查所证实。,三、隐匿型冠心病 【诊断】 1. 发病特点 隐匿型冠心病（latent coronary heart disease）或无症状性冠心病是指没有心绞痛症状，但有心肌缺血客观证据的冠心病，其心肌缺血 ECG 表现可见于静息时，也可在负荷状态下才出现，常为动态 ECG 记录所发现，也可为各种影像学检查所证实。,diagnosis_differential|treatment
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,ready_for_review,overview_mention,82,NSTEMI,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 急性冠脉综合征,5120,5126,263,263,overview,textbook_core,急性冠脉综合征是一组由急性心肌缺血引起的临床综合征，主要包括不稳定型心绞痛（UA）、非ST 段抬高型心肌梗死（NSTEMI）和 ST 段抬高型心肌梗死（STEMI），冠心病猝死是特殊类型 ACS。,急性冠脉综合征是一组由急性心肌缺血引起的临床综合征，主要包括不稳定型心绞痛（UA）、非ST 段抬高型心肌梗死（NSTEMI）和 ST 段抬高型心肌梗死（STEMI），冠心病猝死是特殊类型 ACS。临床上将急性心肌梗死（acute myocardial infarction，AMI）分为 5 型：1 型是自发性 AMI，即原发冠脉不稳 定斑块发生破裂、糜烂或侵蚀继发血栓形成所致，最常见；2 型是存在继发因素导致的持续性供氧不能满足耗氧所需，例如冠脉痉挛、自发性夹层或壁内血肿等，以及栓塞和微血管疾病；3 型是冠心病猝死；4 型是与 PCI 相关；5 型是与 CABG 相关。,
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,心力衰竭,DIS-CARD-HF-BIVENTRICULAR,全心衰竭,needs_manual_anchor_review,body_mention,62,全心衰竭,心力衰竭 > 心力衰竭总论,3910,3965,207,207,overview,textbook_core,左心衰竭和右心衰竭同时存在即为全心衰竭。,左心衰竭和右心衰竭同时存在即为全心衰竭。,classification_risk|etiology|pathogenesis
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,心力衰竭,DIS-CARD-HF-RIGHT,右心衰竭,needs_manual_anchor_review,body_mention,62,右心衰竭,心力衰竭 > 心力衰竭总论,3910,3965,207,207,overview,textbook_core,左心衰竭和右心衰竭同时存在即为全心衰竭。,左心衰竭和右心衰竭同时存在即为全心衰竭。,classification_risk|etiology|pathogenesis
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,心力衰竭,DIS-CARD-HF-HFpEF,射血分数保留的心力衰竭,needs_manual_anchor_review,body_mention,62,射血分数保留,心力衰竭 > 心力衰竭总论,3910,3965,207,207,overview,textbook_core,LVEF≥50% 者称为射血分数保留型心衰（HF with preserved EF，HFpEF），通常存在充盈压升高、舒张功能受损的表现，既往被称为舒张性心衰。,LVEF≥50% 者称为射血分数保留型心衰（HF with preserved EF，HFpEF），通常存在充盈压升高、舒张功能受损的表现，既往被称为舒张性心衰。,classification_risk|etiology|pathogenesis
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,心力衰竭,DIS-CARD-HF-HFmrEF,射血分数轻度降低的心力衰竭,needs_manual_anchor_review,body_mention,62,射血分数轻度降低,心力衰竭 > 心力衰竭总论,3910,3965,207,207,overview,textbook_core,LVEF 为 41%～49% 者称为射血分数轻度降低型心衰（HF with mildly reduced EF，HFmrEF），以轻度收缩功能障碍为主。,LVEF 为 41%～49% 者称为射血分数轻度降低型心衰（HF with mildly reduced EF，HFmrEF），以轻度收缩功能障碍为主。,classification_risk|etiology|pathogenesis
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,心力衰竭,DIS-CARD-HF-HFrEF,射血分数降低的心力衰竭,needs_manual_anchor_review,body_mention,62,射血分数降低,心力衰竭 > 心力衰竭总论,3910,3965,207,207,overview,textbook_core,LVEF≤40% 者称为射血分数降低的心衰（HF with reduced EF，HFrEF），即传统概念中的收缩性心衰。,LVEF≤40% 者称为射血分数降低的心衰（HF with reduced EF，HFrEF），即传统概念中的收缩性心衰。,classification_risk|etiology|pathogenesis
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,心力衰竭,DIS-CARD-HF-LEFT,左心衰竭,needs_manual_anchor_review,body_mention,62,左心衰竭,心力衰竭 > 心力衰竭总论,3910,3965,207,207,overview,textbook_core,第一节 | 心力衰竭总论 【类型】 （一）按发生的部位分类 左心室代偿功能不全所致为左心衰竭，临床上较为常见。,第一节 | 心力衰竭总论 【类型】 （一）按发生的部位分类 左心室代偿功能不全所致为左心衰竭，临床上较为常见。,classification_risk|etiology|pathogenesis
