"对象","父级","缺失组","页码","subject_kind","present_groups","note"
"成人先天性心脏病的介入治疗","先天性心血管病","treatment","","therapy_or_management_section","definition","D2_G1自动生成补槽位清单"
"冠状动脉痉挛","冠状动脉疾病的其他表现形式","clinical_manifestation；diagnosis_differential；exam_lab；treatment","","disease_or_subtype","definition","D2_G1自动生成补槽位清单"
"动脉粥样硬化","动脉粥样硬化和冠状动脉粥样硬化性心脏病","clinical_manifestation；diagnosis_differential；exam_lab；treatment","","disease_or_subtype","definition；etiology_pathogenesis","D2_G1自动生成补槽位清单"
"室性心动过速","室性心律失常","diagnosis_differential；exam_lab","","ecg_defined_arrhythmia","clinical_manifestation；definition；etiology_pathogenesis；treatment","D2_G1自动生成补槽位清单"
"室性期前收缩","室性心律失常","diagnosis_differential；exam_lab","","ecg_defined_arrhythmia","clinical_manifestation；definition；etiology_pathogenesis；treatment","D2_G1自动生成补槽位清单"
"心室扑动与心室颤动","室性心律失常","diagnosis_differential；exam_lab；treatment","","disease_or_subtype","clinical_manifestation；definition","D2_G1自动生成补槽位清单"
"心力衰竭总论","心力衰竭","definition","","overview_section","etiology_pathogenesis","D2_G1自动生成补槽位清单"
"慢性心力衰竭","心力衰竭","definition","","disease_or_subtype","clinical_manifestation；diagnosis_differential；exam_lab；treatment","D2_G1自动生成补槽位清单"
"心包积液及心脏压塞","心包疾病","treatment","","disease_or_subtype","clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup","D2_G1自动生成补槽位清单"
"缩窄性心包炎","心包疾病","treatment","","disease_or_subtype","clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup","D2_G1自动生成补槽位清单"
"心律失常的介入治疗和手术治疗","心律失常","treatment","","therapy_or_management_section","definition","D2_G1自动生成补槽位清单"
"抗心律失常药物的合理应用","心律失常","treatment","","therapy_or_management_section","definition","D2_G1自动生成补槽位清单"
"概 述","心律失常","clinical_manifestation；diagnosis_differential；exam_lab；treatment","","disease_or_subtype","definition","D2_G1自动生成补槽位清单"
"心肌炎","心肌疾病","treatment","","disease_or_subtype","clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；exam_lab","D2_G1自动生成补槽位清单"
"室内传导阻滞","心脏传导阻滞","diagnosis_differential；exam_lab","","ecg_defined_arrhythmia","definition；treatment","D2_G1自动生成补槽位清单"
"房室传导阻滞","心脏传导阻滞","diagnosis_differential；exam_lab；treatment","","ecg_defined_arrhythmia","clinical_manifestation；definition；etiology_pathogenesis","D2_G1自动生成补槽位清单"
"主动脉瓣反流","心脏瓣膜病","definition","","disease_or_subtype","clinical_manifestation；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup；treatment","D2_G1自动生成补槽位清单"
"主动脉瓣狭窄","心脏瓣膜病","definition","","disease_or_subtype","clinical_manifestation；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup；treatment","D2_G1自动生成补槽位清单"
"二尖瓣反流","心脏瓣膜病","definition","","disease_or_subtype","clinical_manifestation；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup；treatment","D2_G1自动生成补槽位清单"
"二尖瓣狭窄","心脏瓣膜病","definition","","disease_or_subtype","clinical_manifestation；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup；treatment","D2_G1自动生成补槽位清单"
"多瓣膜病","心脏瓣膜病","clinical_manifestation；diagnosis_differential；exam_lab；treatment","","disease_or_subtype","definition","D2_G1自动生成补槽位清单"
"风湿热","心脏瓣膜病","exam_lab；treatment","","disease_or_subtype","clinical_manifestation；definition；diagnosis_differential","D2_G1自动生成补槽位清单"
"静脉血栓症","心脏骤停与心脏性猝死","exam_lab；treatment","","disease_or_subtype","clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis","D2_G1自动生成补槽位清单"
"隐匿型冠心病","慢性冠状动脉综合征","clinical_manifestation；definition","","disease_or_subtype","diagnosis_differential；exam_lab；treatment","D2_G1自动生成补槽位清单"
"艾森门格综合征","成人常见先天性心血管病","treatment","","disease_or_subtype","clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup","D2_G1自动生成补槽位清单"
"房室交界区相关的折返性心动过速","房室交界性心律失常","diagnosis_differential；exam_lab","","ecg_defined_arrhythmia","clinical_manifestation；definition；etiology_pathogenesis；treatment","D2_G1自动生成补槽位清单"
"房室交界性期前收缩","房室交界性心律失常","diagnosis_differential；exam_lab；treatment","","ecg_defined_arrhythmia","definition","D2_G1自动生成补槽位清单"
"非阵发性房室交界性心动过速","房室交界性心律失常","diagnosis_differential；exam_lab；treatment","","ecg_defined_arrhythmia","definition","D2_G1自动生成补槽位清单"
"心房扑动","房性心律失常","diagnosis_differential；exam_lab","","disease_or_subtype","clinical_manifestation；definition；etiology_pathogenesis；treatment","D2_G1自动生成补槽位清单"
"心房颤动","房性心律失常","diagnosis_differential；exam_lab；treatment","","disease_or_subtype","clinical_manifestation；definition；etiology_pathogenesis","D2_G1自动生成补槽位清单"
"房性心动过速","房性心律失常","diagnosis_differential；exam_lab","","ecg_defined_arrhythmia","clinical_manifestation；definition；etiology_pathogenesis；treatment","D2_G1自动生成补槽位清单"
"房性期前收缩","房性心律失常","diagnosis_differential；exam_lab；treatment","","ecg_defined_arrhythmia","clinical_manifestation；definition","D2_G1自动生成补槽位清单"
"病态窦房结综合征","窦性心律失常","diagnosis_differential；exam_lab；treatment","","disease_or_subtype","clinical_manifestation；definition；etiology_pathogenesis","D2_G1自动生成补槽位清单"
"窦性心动过缓","窦性心律失常","diagnosis_differential；exam_lab；treatment","","ecg_defined_arrhythmia","definition","D2_G1自动生成补槽位清单"
"窦性心动过速","窦性心律失常","diagnosis_differential；exam_lab；treatment","","ecg_defined_arrhythmia","definition","D2_G1自动生成补槽位清单"
"窦房传导阻滞","窦性心律失常","diagnosis_differential；exam_lab；treatment","","ecg_defined_arrhythmia","definition","D2_G1自动生成补槽位清单"
"心血管神经症","第三篇循环系统疾病","clinical_manifestation；diagnosis_differential；exam_lab；treatment","","disease_or_subtype","definition","D2_G1自动生成补槽位清单"
"感染性心内膜炎","第三篇循环系统疾病","treatment","","disease_or_subtype","clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup","D2_G1自动生成补槽位清单"
"糖尿病与冠心病","糖尿病相关心血管疾病","exam_lab","","disease_or_subtype","clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；treatment","D2_G1自动生成补槽位清单"
"糖尿病与心力衰竭","糖尿病相关心血管疾病","diagnosis_differential；exam_lab","","disease_or_subtype","clinical_manifestation；definition；etiology_pathogenesis；prognosis_followup；treatment","D2_G1自动生成补槽位清单"
"糖尿病与高血压","糖尿病相关心血管疾病","exam_lab","","disease_or_subtype","clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；treatment","D2_G1自动生成补槽位清单"
"肿瘤治疗相关的其他心血管疾病","肿瘤心脏病学","treatment","","therapy_or_management_section","definition","D2_G1自动生成补槽位清单"
"肿瘤治疗相关的心律失常","肿瘤心脏病学","treatment","","therapy_or_management_section","definition","D2_G1自动生成补槽位清单"
"肿瘤治疗相关的血栓性疾病","肿瘤心脏病学","treatment","","therapy_or_management_section","definition","D2_G1自动生成补槽位清单"
"肿瘤治疗相关的高血压","肿瘤心脏病学","treatment","","therapy_or_management_section","definition","D2_G1自动生成补槽位清单"
"原发性高血压","高血压","clinical_manifestation","","disease_or_subtype","definition；diagnosis_differential；etiology_pathogenesis；exam_lab；treatment","D2_G1自动生成补槽位清单"
"继发性高血压","高血压","clinical_manifestation；diagnosis_differential；exam_lab；treatment","","disease_or_subtype","definition","D2_G1自动生成补槽位清单"
