subject_name,parent,level,pdf_page_approx,docx_start_para,docx_end_para,subject_kind,expected_groups,present_groups,missing_groups,definition_count,etiology_pathogenesis_count,clinical_manifestation_count,exam_lab_count,diagnosis_differential_count,treatment_count,prognosis_followup_count,example_entities,g1_status,neo4j_import_allowed,note
成人先天性心脏病的介入治疗,先天性心血管病,节,,6282,6385,therapy_or_management_section,treatment,definition,treatment,4,0,0,0,0,0,0,"definition: 成人先天性心脏病的介入治疗定义, 是较早应用的非手术介入性先天性心脏病的治疗措施，首例成功报告为1982年, 是目前应用最为广泛的封堵器, 导致完全闭塞",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
成人常见先天性心血管病,先天性心血管病,节,,6071,6266,category_container,,clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup；treatment,,5,12,19,8,14,2,26,"definition: 成人常见先天性心血管病定义, 是指心脏及大血管在胎儿期发育异常引起的、在出生时病变即已存在的疾病，简称先心病, 是最常见的成人先天性心脏病，占成人先天性心脏病的20%～30%，男女发病率之比为1∶（1.5～3），且有家族遗传倾向, 指心脏及大血管在胎儿期发育异常引起的、在出生时病变即已存在的疾病，简称先心病, 引起的、在出生时病变即已存在的疾病，简称先心病；etiology_pathogenesis: 房间隔缺损一般分为原发孔缺损（primumatrialseptaldefect）和继发孔缺损（secundumatrialseptaldefect）, 后者又分为中央型缺损、下腔型缺损、上腔型缺损和混合型缺损, 以中央型缺损最多见, 也可有多个缺损同时存在, 房间隔缺损对血流动力学的影响主要取决于分流量的多少；prognosis_followup: 心力衰竭, 脑卒中, 死亡原因常为心力衰竭, 其次为肺部感染、肺动脉血栓形成或栓塞, 二、室间隔缺损室间隔缺损（ventricularseptaldefect；clinical_manifestation: 胸痛, 胸闷, 呼吸困难, 劳力性呼吸困难, 心悸；exam_lab: 超声心动图, 冠状动脉CT血管成像, 冠状动脉造影, 心电图, X线；diagnosis_differential: 典型的心脏听诊、心电图、X线表现可提示房间隔缺损的存在, 大部分可以作出正确诊断, 卵圆孔未闭的诊断主要靠心脏超声结合右心超声造影检查来明确诊断, 鉴别诊断应考虑原发性肺动脉扩张, 根据超声心动图所见诊断并不困难；treatment: 经皮冠状动脉介入治疗, 外科手术",g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
冠状动脉痉挛,冠状动脉疾病的其他表现形式,条目,,5401,5478,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,definition,clinical_manifestation；diagnosis_differential；exam_lab；treatment,8,0,0,0,0,0,0,"definition: 冠状动脉痉挛定义, 是一种特殊类型的冠脉疾病, 是冠脉痉挛的重要诱发因素, 是治疗冠脉痉挛的主要手段，考虑微血管痉挛者，可使用尼可地尔, 导致血管闭塞，则临床表现为静息性心绞痛伴心电图一过性ST段抬高",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
冠状动脉疾病的其他表现形式,动脉粥样硬化和冠状动脉粥样硬化性心脏病,节,,5399,5400,category_container,,,,0,0,0,0,0,0,0,,g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
冠状动脉粥样硬化性心脏病概述,动脉粥样硬化和冠状动脉粥样硬化性心脏病,节,,4943,4955,overview_section,definition；etiology_pathogenesis,definition；etiology_pathogenesis；prognosis_followup,,6,13,0,0,0,0,1,"definition: 冠状动脉粥样硬化性心脏病概述定义, 是动脉粥样硬化导致器官病变的最常见类型，严重危害人类健康, 指冠状动脉（冠脉）发生粥样硬化引起管腔狭窄或闭塞，导致心肌缺血、缺氧或坏死而引起的心脏病，简称冠心病（coronaryarterydisease，CAD, 导致心肌缺血、缺氧或坏死而引起的心脏病，简称冠心病（coronaryarterydisease，CAD, 导致器官病变的最常见类型，严重危害人类健康；etiology_pathogenesis: 冠心病, 心肌梗死, 心肌病, 当冠脉供血供氧与心肌需血需氧之间发生矛盾, 冠脉血流量不能满足心肌代谢的需要就可引起心肌缺血缺氧；prognosis_followup: 出血",g1_structured_candidate_ready,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
动脉粥样硬化,动脉粥样硬化和冠状动脉粥样硬化性心脏病,节,,4864,4889,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,definition；etiology_pathogenesis,clinical_manifestation；diagnosis_differential；exam_lab；treatment,2,29,0,0,0,0,0,"definition: 动脉粥样硬化定义, 是受累动脉的病变从内膜开始，局部先后发生细胞内外的脂质积聚、纤维组织增生和钙质沉着，病变内可见单核巨噬细胞及其他炎症细胞，并有平滑肌细胞的迁移和增生，大量胶原纤维；etiology_pathogenesis: 病因尚未完全确定, 流行病学研究表明不少因素与本病的发生率增加相关, 但并非直接因果关系, 而是多种因素作用于不同环节所致, 这些因素称为危险因素（riskfactor）",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
急性冠脉综合征,动脉粥样硬化和冠状动脉粥样硬化性心脏病,节,,5120,5126,category_container,,definition,,6,0,0,0,0,0,0,"definition: 急性冠脉综合征定义, 是一组由急性心肌缺血引起的临床综合征，主要包括不稳定型心绞痛（UA）、非ST段抬高型心肌梗死（NSTEMI）和ST段抬高型心肌梗死（STEMI），冠心病猝死是特殊, 是自发性AMI，即原发冠脉不稳定斑块发生破裂、糜烂或侵蚀继发血栓形成所致，最常见, 是存在继发因素导致的持续性供氧不能满足耗氧所需，例如冠脉痉挛、自发性夹层或壁内血肿等，以及栓塞和微血管疾病, 导致的持续性供氧不能满足耗氧所需，例如冠脉痉挛、自发性夹层或壁内血肿等，以及栓塞和微血管疾病",g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
慢性冠状动脉综合征,动脉粥样硬化和冠状动脉粥样硬化性心脏病,节,,4956,4957,category_container,,definition,,3,0,0,0,0,0,0,"definition: 慢性冠状动脉综合征定义, 是存在稳定的心外膜冠脉粥样硬化造成的固定狭窄，在某些因素导致心肌耗氧量增加的情况下诱发心肌急剧暂时性缺血缺氧, 导致心肌耗氧量增加的情况下诱发心肌急剧暂时性缺血缺氧",g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
室性心动过速,室性心律失常,条目,,4572,4614,ecg_defined_arrhythmia,definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；etiology_pathogenesis；treatment,diagnosis_differential；exam_lab,2,11,4,0,0,8,0,"definition: 室性心动过速定义, 是起源于希氏束以下的特殊传导系统或者心室肌的连续3个或3个以上的异位心搏；etiology_pathogenesis: 室速常发生于各种器质性心脏病病人, 其次是心肌病、心力衰竭、瓣膜性心脏病等, 其他病因包括代谢障碍、电解质紊乱、洋地黄中毒等, 室速偶可发生在无器质性心脏病者, 其多起源于右心室流出道（右室特发性室速）、左心室间隔部（左室特发性室速）和主动脉窦部；clinical_manifestation: 晕厥, 头晕, 心绞痛, 低血压；treatment: β受体拮抗剂, 胺碘酮, 血运重建, 导管消融, 电复律",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
室性期前收缩,室性心律失常,条目,,4550,4571,ecg_defined_arrhythmia,definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；etiology_pathogenesis；treatment,diagnosis_differential；exam_lab,3,9,6,0,0,5,0,"definition: 室性期前收缩定义, 是一种最常见的心律失常，指希氏束以下部位心室兴奋灶提前除极而产生的过早搏动, 指希氏束以下部位心室兴奋灶提前除极而产生的过早搏动；etiology_pathogenesis: 常见于各种器质性心脏病, 如高血压、冠心病、心肌病、心肌炎及瓣膜性心脏病等, 也可见于心脏结构与功能正常者, 在情绪紧张、过度劳累、过量烟酒或咖啡, 以及电解质紊乱等情况下可诱发室早；clinical_manifestation: 胸闷, 心悸, 乏力, 头晕, 心绞痛；treatment: β受体拮抗剂, 胺碘酮, 非二氢吡啶类钙通道阻滞剂, 钙通道阻滞剂, 导管消融",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
心室扑动与心室颤动,室性心律失常,条目,,4615,4641,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition,diagnosis_differential；exam_lab；treatment,3,0,4,0,0,0,0,"definition: 心室扑动与心室颤动定义, 是引起QT间期延长与尖端扭转型室速的药物，以及严重缺氧缺血、预激综合征合并房颤时极快的心室率、电击伤等亦可引起, 引起QT间期延长与尖端扭转型室速的药物，以及严重缺氧缺血、预激综合征合并房颤时极快的心室率、电击伤等亦可引起；clinical_manifestation: 心悸, 晕厥, 头晕, 心动过速",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
心力衰竭总论,心力衰竭,节,,3910,3965,overview_section,definition；etiology_pathogenesis,etiology_pathogenesis,definition,0,23,0,0,0,0,0,"etiology_pathogenesis: 心律失常, （一）基本病因1.心肌收缩力降低（1）原发性心肌损害：冠状动脉疾病导致缺血性心肌损害如心肌梗死、慢性心肌缺血, 炎症导致心肌损害如心肌炎, 遗传性心肌病如扩张型心肌病、肥厚型心肌病、致心律失常性右心室心肌病等, 2.心室舒张和充盈受限心室充盈受限是指在静脉回心血量无明显减少的情况下",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
急性心力衰竭,心力衰竭,节,,4119,4228,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；exam_lab；treatment,,3,2,20,2,3,8,0,"definition: 急性心力衰竭定义, 是指心力衰竭急性发作和/或加重的一种临床综合征，可以是急性新发或慢性心衰急性失代偿, 指心力衰竭急性发作和/或加重的一种临床综合征，可以是急性新发或慢性心衰急性失代偿；etiology_pathogenesis: 高血压, 心律失常；clinical_manifestation: 呼吸困难, 劳力性呼吸困难, 端坐呼吸, 夜间阵发性呼吸困难, 乏力；diagnosis_differential: 一般不难作出诊断, 支气管哮喘、喘息性支气管炎急性加重相鉴别, 测定血浆BNP/NT-proBNP水平对鉴别急性心源性和支气管性哮喘有较大的参考价值；exam_lab: BNP, NT-proBNP；treatment: 利尿剂, 硝酸酯类药物, 呋塞米, 硝酸甘油, 吗啡",g1_structured_candidate_ready,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
慢性心力衰竭,心力衰竭,节,,3966,4118,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；diagnosis_differential；exam_lab；treatment,definition,0,0,26,14,14,10,0,"clinical_manifestation: 呼吸困难, 劳力性呼吸困难, 端坐呼吸, 夜间阵发性呼吸困难, 心悸；exam_lab: 超声心动图, 冠状动脉造影, 心电图, 心脏磁共振成像, 运动负荷试验；diagnosis_differential: （一）诊断首先, 根据病史、症状、体格检查、心电图、X线胸片判断有无心衰的可能性, （二）鉴别诊断1.肺部疾病心衰最常见的症状为呼吸困难, 3.其他引起水肿的疾病应与肾性水肿、肝性水肿、低蛋白血症、甲状腺功能减退、下肢静脉功能异常等相鉴别, 4.贫血、肥胖、神经肌肉疾病、衰老所导致的乏力、活动耐量减退尤其在HFpEF诊断时；treatment: ACEI/ARB, 利尿剂, 血管紧张素转换酶抑制剂, 血管紧张素II受体拮抗剂, ACEI",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
心包积液及心脏压塞,心包疾病,节,,6726,6750,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup,treatment,1,16,15,6,8,0,15,"definition: 心包积液及心脏压塞定义；etiology_pathogenesis: 各种病因的心包炎均可能伴有心包积液, 常见的原因是肿瘤、特发性心包炎和感染性心包炎, 近年来结核性心包炎造成的心包积液也有回升趋势, 严重的体循环淤血也可产生漏出性心包积液, 穿刺伤、心肌梗死后心肌破裂、心胸外科手术及介入操作造成的冠状动脉穿孔等可造成血性心包积液；clinical_manifestation: 呼吸困难, 端坐呼吸, 上腹痛, 水肿, 低血压；exam_lab: 超声心动图, 心电图, 心脏磁共振成像, X线, 磁共振成像；diagnosis_differential: 1.诊断标准对于呼吸困难的病人, 应考虑此诊断, 心包积液病因诊断可根据临床表现、实验室检查、心包穿刺液检查以及是否存在其他疾病进一步明确, 2.鉴别诊断主要鉴别引起呼吸困难的临床情况, 超声心动图有助于明确诊断；prognosis_followup: 不同病因导致的心包积液预后不同, 感染性心包炎若及时有效治疗可痊愈, 部分可留心肌损害或缩窄性心包炎, 心包积液通常是作为其他疾病的一种并发症而存在, 故对本病的预防主要是积极地治疗原发性疾病",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
急性心包炎,心包疾病,节,,6690,6725,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup；treatment,,3,9,6,11,13,2,16,"definition: 急性心包炎定义, 是某种全身疾病累及心包的表现, 引起的心包炎症大多以胸痛、心包摩擦音、心电图改变及心包渗出后心包积液为特征；etiology_pathogenesis: 急性心包炎最常见病因为病毒感染, 其他原因包括细菌感染、结缔组织病、肿瘤、尿毒症、急性心肌梗死后心包炎、主动脉夹层、胸壁外伤、心脏手术后、甲状腺功能减退等, 有些病人经检查仍无法明确病因, 称为特发性急性心包炎或急性非特异性心包炎, 感染；prognosis_followup: 出血, 急性心包炎的预后取决于病因, 特发性急性心包炎是一种自限性疾病, 部分病人无显著并发症, 如若并发于急性心肌梗死、恶性肿瘤或系统性红斑狼疮等；clinical_manifestation: 胸痛, 呼吸困难, 乏力, 咳嗽, 水肿；exam_lab: 超声心动图, 心电图, 心脏磁共振成像, 胸部X线, X线；diagnosis_differential: 1.诊断标准急性起病、典型胸痛、心包摩擦音、心电图改变包括典型的ST段抬高和/或PR段压低, 实验室检查炎性标志物升高, 结合相关病史、全身表现及相应的辅助检查有助于对病因作出诊断, 2.鉴别诊断诊断急性心包炎应注意与其他可引起急性胸痛的疾病相鉴别, 胸痛伴心电图ST段抬高者与急性心肌梗死鉴别；treatment: 阿司匹林, 吗啡",g1_structured_candidate_ready,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
缩窄性心包炎,心包疾病,节,,6751,6836,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup,treatment,3,11,12,9,7,0,21,"definition: 缩窄性心包炎定义, 是指心脏被致密增厚的纤维化或钙化心包所包围，使心室舒张期充盈受限而产生一系列循环障碍的疾病，病程多为慢性, 指心脏被致密增厚的纤维化或钙化心包所包围，使心室舒张期充盈受限而产生一系列循环障碍的疾病，病程多为慢性；etiology_pathogenesis: 大多数心包疾病都可引起缩窄性心包炎, 我国缩窄性心包炎的病因以结核性为最常见, 其次为特发性心包炎、化脓性心包炎或由创伤性心包炎演变而来, 近年来放射性心包炎和心脏直视手术后引起者逐渐增多, 其他病因包括恶性肿瘤、结缔组织病、尿毒症、药物等；clinical_manifestation: 呼吸困难, 劳力性呼吸困难, 心悸, 乏力, 耐力下降；exam_lab: 超声心动图, 心电图, 心脏磁共振成像, X线, CT；diagnosis_differential: 缩窄性心包炎多可根据典型的临床表现及辅助检查诊断, 血清BNP水平升高, 超声心动图与心脏CT、MRI等影像学检查可帮助明确诊断, 缩窄性心包炎多可根据典型的临床表现及辅助检查诊断, 主要应与限制型心肌病相鉴别；prognosis_followup: 如能及早进行心包的彻底剥离手术, 部分病人可获得满意的效果, 少数病人因病程较久, 有明显心肌萎缩和心源性肝硬化等严重病变, 如结核性心包炎规范抗结核治疗",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
室性心律失常,心律失常,节,,4548,4549,category_container,,,,0,0,0,0,0,0,0,,g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
心律失常的介入治疗和手术治疗,心律失常,节,,4748,4863,therapy_or_management_section,treatment,definition,treatment,1,0,0,0,0,0,0,definition: 心律失常的介入治疗和手术治疗定义,g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
心脏传导阻滞,心律失常,节,,4642,4649,category_container,,definition,,2,0,0,0,0,0,0,"definition: 心脏传导阻滞定义, 是由心脏传导系统的解剖或功能失常造成的永久性或暂时性冲动传导障碍，可发生于心脏传导系统的任何水平",g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
房室交界性心律失常,心律失常,节,,4453,4454,category_container,,,,0,0,0,0,0,0,0,,g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
房性心律失常,心律失常,节,,4361,4362,category_container,,,,0,0,0,0,0,0,0,,g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
抗心律失常药物的合理应用,心律失常,节,,4710,4747,therapy_or_management_section,treatment,definition,treatment,4,0,0,0,0,0,0,"definition: 抗心律失常药物的合理应用定义, 是缓解症状或减少心律失常对心功能和心肌缺血的影响，不应以消灭或减少心律失常为主要目标, 是抗心律失常药物治疗可能导致新的心律失常或使原有心律失常加重，发生率为5%～10%, 导致新的心律失常或使原有心律失常加重，发生率为5%～10%",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
概 述,心律失常,节,,4233,4313,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,definition,clinical_manifestation；diagnosis_differential；exam_lab；treatment,3,0,0,0,0,0,0,"definition: 概述定义, 是指心脏冲动的频率、节律、起源部位、传导速度或激动次序的异常，可见于生理情况，更多见于病理性状态，包括心脏本身疾病和非心脏疾病, 指心脏冲动的频率、节律、起源部位、传导速度或激动次序的异常，可见于生理情况，更多见于病理性状态，包括心脏本身疾病和非心脏疾病",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
窦性心律失常,心律失常,节,,4314,4320,category_container,,definition,,3,0,0,0,0,0,0,"definition: 窦性心律失常定义, 是由于窦房结冲动发放频率的异常或窦性冲动向心房的传导受阻所导致的心律失常, 导致的心律失常",g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
心肌炎,心肌疾病,节,,5960,6066,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；exam_lab,treatment,6,9,14,11,10,0,0,"definition: 心肌炎定义, 是指感染和非感染性心肌炎性疾病, 是细菌、真菌、立克次体、螺旋体、原虫等, 是嗜心肌病毒感染引起的心肌炎症损伤, 指感染和非感染性心肌炎性疾病；etiology_pathogenesis: 嗜心肌病毒主要包括胃肠道病毒如柯萨奇病毒B3、埃可病毒、脊髓灰质炎病毒等, 呼吸道病毒如腺病毒、流感病毒（A、B型）、细小病毒B19、冠状病毒（SARS-CoV）等, 心肌病, 直接作用：病毒直接损害心肌组织包括心肌细胞、间质及微血管, 间接作用：病毒经由T淋巴细胞介导为主的免疫反应造成心肌组织损伤；clinical_manifestation: 胸痛, 胸闷, 心悸, 恶心呕吐, 水肿；exam_lab: 超声心动图, 心内膜心肌活检, 心电图, 心脏磁共振成像, 胸部X线；diagnosis_differential: 1.诊断依据主要根据病毒感染前驱症状、心脏相关表现, 结合ECG、TTE、CMR、心肌损伤标志物升高（必要条件）、病原学等证据, 必要时可做EMB协助诊断, 肌钙蛋白升高时间更长, 3.鉴别诊断以上特殊类型VM极易与急性冠脉综合征、缺血性心肌病、应激性心肌病及其他疾病相混淆",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
扩张型心肌病,心肌疾病,节,,5810,5874,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；exam_lab；treatment,,2,18,18,11,8,19,0,"definition: 扩张型心肌病定义, 是一类以左室或双心室扩大伴收缩功能障碍为特征的心肌病，且无法以负荷异常或心肌缺血等来解释；etiology_pathogenesis: DCM常有家族性发病趋势, 遗传方式多为常染色体显性、少数为常染色体隐性或X连锁遗传, 病毒感染和自身免疫等获得性病因也参与致病, 1.基因突变约50%家族性和30%散发性DCM病人可检出致病基因, DCM的致病基因更多；clinical_manifestation: 呼吸困难, 劳力性呼吸困难, 端坐呼吸, 夜间阵发性呼吸困难, 心悸；exam_lab: 超声心动图, 基因检测, 心电图, 心脏磁共振成像, 胸部X线；diagnosis_differential: 1.诊断依据除外获得性病因后, 有心腔扩大伴LVEF降低者可拟诊DCM, 2.鉴别诊断应除外心脏扩大、收缩功能减低的其他继发原因, CMR提供的心肌组织特征有助于病因鉴别诊断, 2.鉴别诊断应除外心脏扩大、收缩功能减低的其他继发原因；treatment: ACEI/ARB, β受体拮抗剂, 利尿剂, 血管紧张素转换酶抑制剂, 血管紧张素II受体拮抗剂",g1_structured_candidate_ready,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
肥厚型心肌病,心肌疾病,节,,5746,5809,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；exam_lab；treatment,,3,9,6,9,14,12,0,"definition: 肥厚型心肌病定义, 是一类以左心室和/或右心室肥厚，伴舒张功能障碍为特征的心肌病，需排除继发于后负荷增加或系统性疾病的心肌肥厚, 是青少年和运动猝死的重要原因；etiology_pathogenesis: HCM系常染色体显性遗传, 已发现至少8个肌小节蛋白的编码基因突变, 约60%的病人有致病/可能致病变异, 其中MYH7和MYBPC3突变占70%, 40%未检出变异；clinical_manifestation: 胸闷, 呼吸困难, 静息性呼吸困难, 晕厥, 心动过速；exam_lab: 超声心动图, 基因检测, 心内膜心肌活检, 心电图, 心脏磁共振成像；diagnosis_differential: 影像学发现室壁增厚是诊断HCM的必备条件, （一）诊断标准1.成人, 影像学发现左室任意部位舒张末室壁厚度≥15mm可诊断, 有家族史或基因检测阳性者, 室壁厚度≥13mm也可诊断；treatment: β受体拮抗剂, 利尿剂, 非二氢吡啶类钙通道阻滞剂, 美托洛尔, 比索洛尔",g1_structured_candidate_ready,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
