source_disease_name,target_subject_name,mapping_type,mapping_status,confidence,review_reason,candidate_targets,source_artifact_scope,source_artifact_mtime,target_artifact_scope,target_artifact_mtime,source_row_count,source_entity_type_counts,target_parent,target_subject_kind,target_docx_start_para,target_docx_end_para
Brugada综合征,,no_candidate,暂不采用,0.3529,未找到足够可靠的 D6 骨架章节/疾病名称,艾森门格综合征:0.353；病态窦房结综合征:0.333；慢性冠状动脉综合征:0.316；急性冠脉综合征:0.316；抗心律失常药物的合理应用:0.091,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,9,"{""Complication"": 1, ""Etiology"": 1, ""Medication"": 1, ""Pathophysiology"": 1, ""Sign"": 3, ""Symptom"": 1, ""TreatmentPlan"": 1}",,,,
三尖瓣下移畸形,,no_candidate,暂不采用,0.3333,未找到足够可靠的 D6 骨架章节/疾病名称,二尖瓣狭窄:0.333；二尖瓣反流:0.333；多瓣膜病:0.182；心脏瓣膜病:0.167；主动脉瓣狭窄:0.154,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,33,"{""Complication"": 5, ""DifferentialDiagnosis"": 2, ""Etiology"": 1, ""Exam"": 8, ""Procedure"": 1, ""RiskFactor"": 4, ""Sign"": 9, ""Symptom"": 3}",,,,
主动脉瘤,,no_candidate,暂不采用,0.6667,未找到足够可靠的 D6 骨架章节/疾病名称,主动脉夹层:0.667；主动脉瓣狭窄:0.600；主动脉瓣反流:0.600；动脉粥样硬化:0.400；冠状动脉痉挛:0.400,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,57,"{""Complication"": 7, ""DiagnosisCriteria"": 1, ""DifferentialDiagnosis"": 3, ""Etiology"": 11, ""Exam"": 5, ""LabTest"": 2, ""Pathophysiology"": 1, ""Prognosis"": 2, ""RiskFactor"": 19, ""Sign"": 4, ""TreatmentPlan"": 2}",,,,
主动脉窦瘤,,no_candidate,暂不采用,0.6,未找到足够可靠的 D6 骨架章节/疾病名称,主动脉夹层:0.600；主动脉瓣狭窄:0.545；主动脉瓣反流:0.545；动脉粥样硬化:0.364；冠状动脉痉挛:0.364,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,39,"{""Complication"": 10, ""DiagnosisCriteria"": 1, ""DifferentialDiagnosis"": 3, ""Exam"": 10, ""FollowUp"": 2, ""LabTest"": 1, ""Pathophysiology"": 1, ""Procedure"": 5, ""RiskFactor"": 6}",,,,
主动脉缩窄,,no_candidate,暂不采用,0.7273,未找到足够可靠的 D6 骨架章节/疾病名称,主动脉瓣狭窄:0.727；主动脉夹层:0.600；主动脉瓣反流:0.545；动脉粥样硬化:0.364；冠状动脉痉挛:0.364,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,60,"{""Complication"": 5, ""DiagnosisCriteria"": 4, ""DifferentialDiagnosis"": 3, ""Exam"": 6, ""FollowUp"": 1, ""LabTest"": 1, ""Procedure"": 2, ""Prognosis"": 1, ""RiskFactor"": 12, ""Sign"": 18, ""Symptom"": 7}",,,,
二叶主动脉瓣,,no_candidate,暂不采用,0.6667,未找到足够可靠的 D6 骨架章节/疾病名称,主动脉瓣狭窄:0.667；主动脉瓣反流:0.667；主动脉夹层:0.545；二尖瓣狭窄:0.364；二尖瓣反流:0.364,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,24,"{""Complication"": 6, ""DifferentialDiagnosis"": 1, ""Epidemiology"": 1, ""Etiology"": 2, ""Exam"": 3, ""Procedure"": 1, ""Prognosis"": 1, ""RiskFactor"": 7, ""Sign"": 2}",,,,
人工瓣膜心内膜炎,,no_candidate,暂不采用,0.5333,未找到足够可靠的 D6 骨架章节/疾病名称,感染性心内膜炎:0.533；心肌炎:0.364；多瓣膜病:0.333；心脏瓣膜病:0.308；急性心包炎:0.308,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,58,"{""Complication"": 11, ""DiagnosisCriteria"": 1, ""DifferentialDiagnosis"": 1, ""Etiology"": 1, ""Exam"": 7, ""LabTest"": 2, ""Pathophysiology"": 1, ""Procedure"": 7, ""Prognosis"": 2, ""RiskFactor"": 21, ""Sign"": 1, ""Symptom"": 2, ""TreatmentPlan"": 1}",,,,
儿茶酚胺敏感性室性心动过速,,no_candidate,暂不采用,0.6316,未找到足够可靠的 D6 骨架章节/疾病名称,室性心动过速:0.632；非阵发性房室交界性心动过速:0.538；窦性心动过速:0.526；房性心动过速:0.526；房室交界区相关的折返性心动过速:0.429,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,69,"{""Complication"": 17, ""DiagnosisCriteria"": 1, ""DifferentialDiagnosis"": 1, ""Etiology"": 4, ""Exam"": 12, ""FollowUp"": 1, ""Pathophysiology"": 3, ""Procedure"": 4, ""RiskFactor"": 5, ""RiskStratification"": 1, ""Sign"": 9, ""Symptom"": 10, ""TreatmentPlan"": 1}",,,,
先天性主动脉缩窄,,no_candidate,暂不采用,0.5714,未找到足够可靠的 D6 骨架章节/疾病名称,主动脉瓣狭窄:0.571；主动脉夹层:0.462；主动脉瓣反流:0.429；先天性心血管病:0.400；慢性冠状动脉综合征:0.353,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,11,"{""DiagnosisCriteria"": 1, ""DifferentialDiagnosis"": 1, ""FollowUp"": 1, ""Procedure"": 1, ""RiskFactor"": 4, ""Sign"": 3}",,,,
冠状动脉瘘,,no_candidate,暂不采用,0.7273,未找到足够可靠的 D6 骨架章节/疾病名称,冠状动脉痉挛:0.727；慢性冠状动脉综合征:0.571；急性冠脉综合征:0.571；冠状动脉疾病的其他表现形式:0.500；肿瘤治疗相关的冠状动脉疾病:0.500,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,18,"{""Complication"": 9, ""Exam"": 1, ""Procedure"": 1, ""RiskFactor"": 5, ""Sign"": 1, ""TreatmentPlan"": 1}",,,,
动脉导管未闭,,no_candidate,暂不采用,0.4,未找到足够可靠的 D6 骨架章节/疾病名称,下肢动脉硬化闭塞症:0.400；主动脉夹层:0.364；动脉粥样硬化:0.333；冠状动脉痉挛:0.333；主动脉瓣狭窄:0.333,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,88,"{""Complication"": 18, ""DiagnosisCriteria"": 2, ""DifferentialDiagnosis"": 4, ""Exam"": 15, ""FollowUp"": 2, ""LabTest"": 1, ""Pathophysiology"": 1, ""Procedure"": 14, ""Prognosis"": 1, ""RiskFactor"": 16, ""Sign"": 7, ""Symptom"": 6, ""TreatmentPlan"": 1}",,,,
原发性醛固酮增多症,,no_candidate,暂不采用,0.4,未找到足够可靠的 D6 骨架章节/疾病名称,原发性高血压:0.400；继发性高血压:0.267；非阵发性房室交界性心动过速:0.182；多瓣膜病:0.154；急性心包炎:0.143,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,66,"{""Complication"": 4, ""DiagnosisCriteria"": 2, ""DifferentialDiagnosis"": 1, ""Epidemiology"": 1, ""Exam"": 6, ""LabTest"": 5, ""Medication"": 7, ""Pathophysiology"": 1, ""Prognosis"": 1, ""RiskFactor"": 19, ""Sign"": 14, ""Symptom"": 1, ""TreatmentPlan"": 4}",,,,
嗜铬细胞瘤和副神经节瘤,,no_candidate,暂不采用,0.2353,未找到足够可靠的 D6 骨架章节/疾病名称,心血管神经症:0.235；肿瘤治疗相关的高血压:0.095；肿瘤治疗相关的血栓性疾病:0.095；肿瘤治疗相关的冠状动脉疾病:0.091；肿瘤治疗相关的心律失常:0.091,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,53,"{""Complication"": 3, ""DifferentialDiagnosis"": 4, ""Exam"": 5, ""LabTest"": 5, ""Medication"": 2, ""RiskFactor"": 16, ""Sign"": 14, ""Symptom"": 2, ""TreatmentPlan"": 2}",,,,
室间隔缺损,,no_candidate,暂不采用,0.1818,未找到足够可靠的 D6 骨架章节/疾病名称,室性心律失常:0.182；室性期前收缩:0.182；室性心动过速:0.182；房室传导阻滞:0.182；室内传导阻滞:0.182,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,156,"{""Complication"": 28, ""DiagnosisCriteria"": 4, ""DifferentialDiagnosis"": 10, ""Exam"": 29, ""FollowUp"": 2, ""LabTest"": 2, ""Pathophysiology"": 8, ""Procedure"": 16, ""Prognosis"": 1, ""RiskFactor"": 20, ""Sign"": 22, ""Symptom"": 13, ""TreatmentPlan"": 1}",,,,
心肌梗死后综合征,,no_candidate,暂不采用,0.4,未找到足够可靠的 D6 骨架章节/疾病名称,急性 ST 段抬高型心肌梗死:0.400；心肌疾病:0.400；艾森门格综合征:0.400；病态窦房结综合征:0.375；心肌炎:0.364,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,10,"{""Complication"": 2, ""Exam"": 2, ""Procedure"": 1, ""Sign"": 2, ""Symptom"": 2, ""TreatmentPlan"": 1}",,,,
急性心肌梗死,急性冠脉综合征,manual_review_rule,需人工确认,0.9,泛称需按 STEMI/NSTEMI/ACS 章节拆分，不能直接并入单一具体疾病,急性冠脉综合征,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,822,"{""Complication"": 142, ""DiagnosisCriteria"": 7, ""DifferentialDiagnosis"": 31, ""Epidemiology"": 1, ""Etiology"": 20, ""Exam"": 95, ""FollowUp"": 4, ""LabTest"": 28, ""Medication"": 65, ""Pathophysiology"": 47, ""Procedure"": 42, ""Prognosis"": 3, ""RiskFactor"": 54, ""RiskStratification"": 6, ""Sign"": 129, ""Symptom"": 94, ""TreatmentPlan"": 54}",动脉粥样硬化和冠状动脉粥样硬化性心脏病,category_container,5120,5126
房间隔缺损,,no_candidate,暂不采用,0.2222,未找到足够可靠的 D6 骨架章节/疾病名称,心房扑动:0.222；心房颤动:0.222；窦房传导阻滞:0.182；房性心律失常:0.182；房性期前收缩:0.182,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,86,"{""Complication"": 20, ""DiagnosisCriteria"": 2, ""DifferentialDiagnosis"": 2, ""Etiology"": 2, ""Exam"": 5, ""LabTest"": 1, ""Pathophysiology"": 3, ""Procedure"": 11, ""RiskFactor"": 14, ""Sign"": 14, ""Symptom"": 10, ""TreatmentPlan"": 2}",,,,
早期复极综合征,,no_candidate,暂不采用,0.4286,未找到足够可靠的 D6 骨架章节/疾病名称,艾森门格综合征:0.429；病态窦房结综合征:0.400；慢性冠状动脉综合征:0.375；急性冠脉综合征:0.375；房性期前收缩:0.154,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,63,"{""Complication"": 15, ""DiagnosisCriteria"": 1, ""DifferentialDiagnosis"": 2, ""Etiology"": 4, ""Exam"": 7, ""LabTest"": 1, ""Medication"": 2, ""Procedure"": 4, ""RiskFactor"": 4, ""Sign"": 12, ""Symptom"": 10, ""TreatmentPlan"": 1}",,,,
肺动脉瓣狭窄,,no_candidate,暂不采用,0.8333,未找到足够可靠的 D6 骨架章节/疾病名称,主动脉瓣狭窄:0.833；二尖瓣狭窄:0.545；主动脉瓣反流:0.500；主动脉夹层:0.364；动脉粥样硬化:0.333,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,57,"{""Complication"": 12, ""DiagnosisCriteria"": 2, ""DifferentialDiagnosis"": 4, ""Etiology"": 1, ""Exam"": 8, ""Procedure"": 12, ""RiskFactor"": 13, ""Sign"": 2, ""Symptom"": 3}",,,,
肾实质性高血压,,no_candidate,暂不采用,0.6154,未找到足够可靠的 D6 骨架章节/疾病名称,原发性高血压:0.615；继发性高血压:0.615；高血压:0.600；糖尿病与高血压:0.429；肿瘤治疗相关的高血压:0.353,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,23,"{""Etiology"": 1, ""LabTest"": 3, ""Medication"": 2, ""RiskFactor"": 5, ""Sign"": 11, ""TreatmentPlan"": 1}",,,,
肾血管性高血压,,no_candidate,暂不采用,0.6154,未找到足够可靠的 D6 骨架章节/疾病名称,原发性高血压:0.615；继发性高血压:0.615；高血压:0.600；糖尿病与高血压:0.429；肿瘤治疗相关的高血压:0.353,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,59,"{""Complication"": 4, ""DiagnosisCriteria"": 3, ""Epidemiology"": 1, ""Etiology"": 5, ""Exam"": 5, ""LabTest"": 7, ""Medication"": 7, ""RiskFactor"": 6, ""Sign"": 17, ""TreatmentPlan"": 4}",,,,
长QT间期综合征,,no_candidate,暂不采用,0.4,未找到足够可靠的 D6 骨架章节/疾病名称,艾森门格综合征:0.400；病态窦房结综合征:0.375；慢性冠状动脉综合征:0.353；急性冠脉综合征:0.353；房性期前收缩:0.143,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,52,"{""Complication"": 13, ""DifferentialDiagnosis"": 1, ""Etiology"": 2, ""Exam"": 1, ""LabTest"": 3, ""Medication"": 5, ""Pathophysiology"": 2, ""Procedure"": 2, ""RiskFactor"": 5, ""Sign"": 11, ""Symptom"": 7}",,,,
阵发性室上性心动过速,,no_candidate,暂不采用,0.7826,未找到足够可靠的 D6 骨架章节/疾病名称,非阵发性房室交界性心动过速:0.783；室性心动过速:0.750；窦性心动过速:0.625；房性心动过速:0.625；窦性心动过缓:0.500,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,37,"{""Complication"": 10, ""DifferentialDiagnosis"": 1, ""Exam"": 2, ""LabTest"": 2, ""Medication"": 3, ""Prognosis"": 1, ""RiskFactor"": 5, ""Sign"": 7, ""TreatmentPlan"": 6}",,,,
高血压急症和亚急症,,no_candidate,暂不采用,0.5,未找到足够可靠的 D6 骨架章节/疾病名称,高血压:0.500；原发性高血压:0.400；继发性高血压:0.400；糖尿病与高血压:0.375；肿瘤治疗相关的高血压:0.316,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,17,"{""Complication"": 3, ""DifferentialDiagnosis"": 1, ""RiskFactor"": 1, ""Sign"": 9, ""Symptom"": 1, ""TreatmentPlan"": 2}",,,,
